Name,Address,Phone
SPAC,2 rue Collège Chapuisien 74000 Annecy  ,Numéro non trouvé
Sushi Box,3 rue Annexion 74000 Annecy  ,Numéro non trouvé
Le Cerf Volant,4 quai Madame de Warens 74000 Annecy  ,Numéro non trouvé
Gamin,15 avenue Cran 74000 Annecy  ,Numéro non trouvé
C.M.A.,14 rue Vaugelas 74000 Annecy  ,Numéro non trouvé
Le Zinc A Raoul,11 rue Pont Morens 74000 Annecy  ,Numéro non trouvé
ARMONY SAVEURS ARMONY SAVEURS,74 rue République 74000 Annecy  ,Numéro non trouvé
SRI KRISHNA,36 avenue Chambéry 74000 Annecy  ,Numéro non trouvé
La Verriere,12 faubourg Annonciades 74000 Annecy  ,Numéro non trouvé
Le Tandem,54 avenue Genève 74000 Annecy  ,Numéro non trouvé
Alpiz,21 rue Prés Favre 74000 Annecy  ,Numéro non trouvé
Turkish Delight,2 rue Paix 74000 Annecy  ,Numéro non trouvé
Perrine,65 rue Carnot 74000 Annecy  ,Numéro non trouvé
Rutab,2 place Ste Claire 74000 Annecy  ,Numéro non trouvé
GENOR-RESTAURATION,25 rue Carnot 74000 Annecy  ,Numéro non trouvé
Fabienne Barbero,12 avenue Berthollet 74000 Annecy  ,Numéro non trouvé
Jun,3 côte Perrière 74000 Annecy  ,Numéro non trouvé
Kelsa Bar & Restaurant,13 rue Ile 74000 Annecy  ,Numéro non trouvé
231 East St,9 faubourg Ste Claire 74000 Annecy  ,Numéro non trouvé
Bamboo,9 Quater rue République 74000 Annecy  ,Numéro non trouvé
Beacon,42 rue Vaugelas 74000 Annecy  ,Numéro non trouvé
ANNE.C.Y GLACE,4 quai Eustache Chappuis 74000 Annecy  ,Numéro non trouvé
F.C.G.F,1 rue Jean Jaurès 74000 Annecy  ,Numéro non trouvé
Hiatus Coffee,5 passage Cordeliers 74000 Annecy  ,Numéro non trouvé
Nouch,2 rue Collège Chapuisien 74000 Annecy  ,Numéro non trouvé
Bagel Corner,1 rue Jean Jaurès 74000 Annecy  ,Numéro non trouvé
À La Braise,13 avenue Mandallaz 74000 Annecy  ,Numéro non trouvé
Dynamic,12 faubourg Ste Claire 74000 Annecy  ,Numéro non trouvé
Mozza Mozza,36 avenue Genève 74000 Annecy  ,Numéro non trouvé
La Roulotte Atypique Pizza,22 avenue Bouvard 74000 Annecy  ,Numéro non trouvé
Black And White Burger,4 rue Carnot 74000 Annecy  ,Numéro non trouvé
Le Carrousel Du 15,15 faubourg Ste Claire 74000 Annecy  ,Numéro non trouvé
Fresh'Up,6 faubourg Balmettes 74000 Annecy  ,Numéro non trouvé
Mer Noire,13 rue Collège Chapuisien 74000 Annecy  ,Numéro non trouvé
By To By Food Truck,63 route Cuvat 74000 Annecy  ,Numéro non trouvé
Le Frenchie,25 avenue Romains 74000 Annecy  ,04 50 23 07 90
ERNEST,2 rue Pont Morens 74000 Annecy  ,Numéro non trouvé
Maxime Ardin cuisinier,20 avenue Mandallaz 74000 Annecy  ,Numéro non trouvé
Not So Dark,20 Bis rue Narvik 74000 Annecy  ,Numéro non trouvé
Nagoya Sushi,4 place St Maurice 74000 Annecy  ,Numéro non trouvé
Les Nouveaux Restaurateurs,80 rue Carnot 74000 Annecy  ,Numéro non trouvé
Frank Olivieri,1 rue Ile 74000 Annecy  ,Numéro non trouvé
Taco Taco,7 avenue Rhône 74000 Annecy  ,Numéro non trouvé
Alexandre Chapuis,8 route Semnoz 74000 Annecy  ,Numéro non trouvé
AS,26 rue Royale 74000 Annecy  ,Numéro non trouvé
BEN'S FOOD,5 rue Industrie 74000 Annecy  ,Numéro non trouvé
Paray Food,2 avenue Chevêne 74000 Annecy  ,Numéro non trouvé
Clb 74,8 quai Eustache Chappuis 74000 Annecy  ,Numéro non trouvé
CAMARADE,bât Le Majestic 38 avenue Chambéry 74000 Annecy  ,Numéro non trouvé
Restaurant le Clos des Sens,13 rue Jean Mermoz 74940 Annecy le Vieux  ,Numéro non trouvé
Chez Poncho,5 rue Narvik 74000 Annecy  ,Numéro non trouvé
La Roulotte d'Ici,Rue d'Annecy  74000 Annecy  ,Numéro non trouvé
Les Barbastien en Cuisine,32 avenue Loverchy 74000 Annecy  ,Numéro non trouvé
CASA GIANOTTI,bât La Barre 16 avenue Stade 74000 Annecy  ,Numéro non trouvé
Ostreidae,13 rue Royale 74000 Annecy  ,Numéro non trouvé
Jasmin,3 faubourg Ste Claire 74000 Annecy  ,04 50 27 65 65
Chez Tot' Sagasnack,90 avenue Plaine 74000 Annecy  ,04 50 01 08 88
LE TIC TAC DES ALPES,avenue Rhône 74000 Annecy  ,04 50 60 70 24
